CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
203850,55.0,1,1,17.0,3,1,4,4.0,1,5.0,3,8.0,1,1,0,1.0,2,23118.0,0
202463,39.0,1,1,9.0,2,2,3,4.0,0,3.0,3,7.0,1,4,0,2.0,1,22622.0,0
200878,42.0,0,2,8.0,3,2,3,1.0,1,5.0,0,1.0,0,2,0,2.0,2,21272.0,0
202482,37.0,1,1,12.0,2,1,3,5.0,0,5.0,0,2.0,1,2,1,1.0,1,98678.0,0
203074,23.0,1,1,7.0,2,2,3,5.0,1,3.0,0,8.0,0,2,1,1.0,2,23453.0,0
203002,33.0,0,1,31.0,2,2,4,4.0,1,3.0,0,3.0,0,4,1,1.0,2,23987.0,0
201261,38.0,1,1,24.0,3,2,2,5.0,1,3.0,1,4.0,1,5,0,1.0,2,20811.0,0
203187,60.0,1,1,9.0,2,1,4,5.0,4,3.0,2,5.0,1,5,0,3.0,0,32404.0,0
202230,53.0,0,3,8.0,3,1,2,4.0,3,4.0,1,3.0,0,1,1,0.0,3,22525.0,0
203643,37.0,1,1,33.0,2,2,4,4.0,1,3.0,1,8.0,0,3,1,1.0,2,24025.0,0
201897,60.0,0,3,34.0,3,1,3,4.0,3,5.0,1,5.0,0,1,1,0.0,3,25266.0,0
204738,43.0,1,1,36.0,3,2,3,6.0,1,3.0,3,6.0,0,3,1,2.0,2,22950.0,0
201480,35.0,1,1,22.0,3,2,2,1.0,0,4.0,1,1.0,0,4,1,1.0,1,17426.0,0
204557,43.0,1,1,10.0,2,1,4,2.0,1,3.0,1,4.0,1,5,1,1.0,2,23909.0,0
200994,52.0,0,1,34.0,3,1,2,1.0,4,3.0,0,3.0,1,4,0,0.0,0,28247.0,0
203104,59.0,0,1,9.0,2,2,3,5.0,0,3.0,1,2.0,1,2,0,1.0,1,21058.0,1
200009,36.0,1,1,33.0,3,2,3,3.0,1,3.0,0,7.0,0,3,1,0.0,2,20237.0,0
203825,29.0,0,1,23.0,3,2,3,4.0,0,3.0,2,3.0,0,3,0,1.0,1,20822.0,0
204425,37.0,1,1,16.0,3,2,3,5.0,1,4.0,1,4.0,1,4,0,2.0,2,27525.0,0
200198,38.0,1,1,8.0,2,2,2,3.0,1,3.0,0,1.0,0,2,0,1.0,2,21553.0,0
